SAMPLE_v1	SAMPLE_TYPE	STATION	AREA	DEPTH	SIZE_FRACTION	SIZE_FRACTION_num
KH1	water_column	P02	BRANSFIELD	5	0.2	F1
KH2	water_column	P02	BRANSFIELD	5	3	F2
KH3	water_column	P02	BRANSFIELD	5	20	F3
KH4	water_column	P02	BRANSFIELD	30	0.2	F1
KH5	water_column	P02	BRANSFIELD	30	3	F2
KH6	water_column	P02	BRANSFIELD	30	20	F3
KH7	water_column	P02	BRANSFIELD	100	0.2	F1
KH8	water_column	P02	BRANSFIELD	100	3	F2
KH9	water_column	P02	BRANSFIELD	100	20	F3
KH10	water_column	P01	BRANSFIELD	5	0.2	F1
KH11	water_column	P01	BRANSFIELD	5	3	F2
KH12	water_column	P01	BRANSFIELD	5	20	F3
KH13	water_column	P01	BRANSFIELD	30	0.2	F1
KH14	water_column	P01	BRANSFIELD	30	3	F2
KH15	water_column	P01	BRANSFIELD	30	20	F3
KH16	water_column	P01	BRANSFIELD	100	0.2	F1
KH17	water_column	P01	BRANSFIELD	100	3	F2
KH18	water_column	P01	BRANSFIELD	100	20	F3
KH19	water_column	P04	BRANSFIELD	5	0.2	F1
KH20	water_column	P04	BRANSFIELD	5	3	F2
KH21	water_column	P04	BRANSFIELD	5	20	F3
KH22	water_column	P04	BRANSFIELD	30	0.2	F1
KH23	water_column	P04	BRANSFIELD	30	3	F2
KH24	water_column	P04	BRANSFIELD	30	20	F3
KH25	water_column	P56	BRANSFIELD	5	0.2	F1
KH26	water_column	P56	BRANSFIELD	5	3	F2
KH27	water_column	P56	BRANSFIELD	5	20	F3
KH28	water_column	P56	BRANSFIELD	30	0.2	F1
KH29	water_column	P56	BRANSFIELD	30	3	F2
KH30	water_column	P56	BRANSFIELD	30	20	F3
KH31	water_column	P56	BRANSFIELD	200	0.2	F1
KH32	water_column	P56	BRANSFIELD	200	3	F2
KH33	water_column	P56	BRANSFIELD	200	20	F3
KH34	water_column	P56	BRANSFIELD	600	0.2	F1
KH35	water_column	P56	BRANSFIELD	600	3	F2
KH36	water_column	P56	BRANSFIELD	600	20	F3
KH37	water_column	P56	BRANSFIELD	1000	0.2	F1
KH38	water_column	P56	BRANSFIELD	1000	3	F2
KH39	water_column	P56	BRANSFIELD	1000	20	F3
KH253	water_column	Mx	BRANSFIELD	5	0.2	F1
KH254	water_column	Mx	BRANSFIELD	5	3	F2
KH255	water_column	Mx	BRANSFIELD	5	20	F3
KH256	water_column	Mx	BRANSFIELD	30	0.2	F1
KH257	water_column	Mx	BRANSFIELD	30	3	F2
KH258	water_column	Mx	BRANSFIELD	30	20	F3
KH259	water_column	Mx	BRANSFIELD	100	0.2	F1
KH260	water_column	Mx	BRANSFIELD	100	3	F2
KH261	water_column	Mx	BRANSFIELD	100	20	F3
KH262	water_column	Mx	BRANSFIELD	200	0.2	F1
KH263	water_column	Mx	BRANSFIELD	200	3	F2
KH264	water_column	Mx	BRANSFIELD	200	20	F3
KH265	water_column	Mx	BRANSFIELD	830	0.2	F1
KH266	water_column	Mx	BRANSFIELD	830	3	F2
KH267	water_column	Mx	BRANSFIELD	830	20	F3
KH268	water_column	M5	BRANSFIELD	5	0.2	F1
KH269	water_column	M5	BRANSFIELD	5	3	F2
KH270	water_column	M5	BRANSFIELD	5	20	F3
KH271	water_column	M5	BRANSFIELD	20	0.2	F1
KH272	water_column	M5	BRANSFIELD	20	3	F2
KH273	water_column	M5	BRANSFIELD	20	20	F3
KH274	water_column	M5	BRANSFIELD	100	0.2	F1
KH275	water_column	M5	BRANSFIELD	100	3	F2
KH276	water_column	M5	BRANSFIELD	100	20	F3
KH277	water_column	M5	BRANSFIELD	200	0.2	F1
KH278	water_column	M5	BRANSFIELD	200	3	F2
KH279	water_column	M5	BRANSFIELD	200	20	F3
KH280	water_column	M5	BRANSFIELD	300	0.2	F1
KH281	water_column	M5	BRANSFIELD	300	3	F2
KH282	water_column	M5	BRANSFIELD	300	20	F3
KH283	water_column	M5	BRANSFIELD	500	0.2	F1
KH284	water_column	M5	BRANSFIELD	500	3	F2
KH285	water_column	M5	BRANSFIELD	500	20	F3
KH286	water_column	M3	BRANSFIELD	5	0.2	F1
KH287	water_column	M3	BRANSFIELD	5	3	F2
KH288	water_column	M3	BRANSFIELD	5	20	F3
KH289	water_column	M3	BRANSFIELD	30	0.2	F1
KH290	water_column	M3	BRANSFIELD	30	3	F2
KH291	water_column	M3	BRANSFIELD	30	20	F3
KH292	water_column	M3	BRANSFIELD	100	0.2	F1
KH293	water_column	M3	BRANSFIELD	100	3	F2
KH294	water_column	M3	BRANSFIELD	100	20	F3
KH295	water_column	M3	BRANSFIELD	200	0.2	F1
KH296	water_column	M3	BRANSFIELD	200	3	F2
KH297	water_column	M3	BRANSFIELD	200	20	F3
KH298	water_column	M3	BRANSFIELD	300	0.2	F1
KH299	water_column	M3	BRANSFIELD	300	3	F2
KH300	water_column	M3	BRANSFIELD	300	20	F3
